1436371845	0	60480	0
1436371846	0	60480	1
1436371847	1	60480	2
1436371848	0	60481	3
1436371849	0	60481	4
1436371850	0	60481	5
1436371851	0	60481	6
1436371852	46	60481	7
1436371853	74	60527	0
1436371854	108	60601	0
1436371855	150	60709	0
1436371856	149	60859	0
1436371857	343	61008	0
1436371858	235	61351	0
1436371859	168	61586	0
1436371860	244	61754	0
1436371861	187	61998	0
1436371862	264	62185	0
1436371863	245	62449	0
1436371864	231	62694	0
1436371865	366	62925	0
1436371866	133	63291	0
1436371867	478	63424	0
